127.0.0.1 - - [06/Apr/2026:21:28:37 +0200] "GET /health HTTP/1.1" 200 62 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; es-ES) WindowsPowerShell/5.1.26100.7920"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:31 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
127.0.0.1 - - [06/Apr/2026:21:29:32 +0200] "POST /buy/numbered HTTP/1.1" 409 168 "-" "python-httpx/0.28.1"
